,id,date,number_of_bedrooms,number_of_bathrooms,living_area,lot_area,number_of_floors,waterfront_present,number_of_views,condition_of_the_house,grade_of_the_house,area_of_the_houseexcluding_basement,area_of_the_basement,built_year,renovation_year,postal_code,lattitude,longitude,living_area_renov,lot_area_renov,number_of_schools_nearby,distance_from_the_airport,price,saleyear,salemonth,house_age,years_since_renov
count,14620.0,14620,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0,14620.0
unique,,,,,,,,,,,,,,,,70,,,,,,,,,,,
top,,,,,,,,,,,,,,,,122028,,,,,,,,,,,
freq,,,,,,,,,,,,,,,,432,,,,,,,,,,,
mean,6762820830.52565,1970-01-01 00:00:00.000042604,3.379343365253078,2.1295827633378934,2098.262995896033,15093.281121751026,1.502359781121751,0.007660738714090287,0.23310533515731874,3.4305061559507526,7.682421340629275,1801.783926128591,296.47906976744184,1970.9264021887825,90.92400820793434,,52.79284757865937,-114.40400677154582,1996.7022571819425,12753.500068399453,2.0122435020519838,64.95095759233926,538932.2183310534,1970.0,1.0,54.07359781121751,51.49432284541724
min,6762810020.0,1970-01-01 00:00:00.000042491,1.0,0.5,370.0,520.0,1.0,0.0,0.0,1.0,4.0,370.0,0.0,1900.0,0.0,,52.3859,-114.709,460.0,651.0,1.0,50.0,78000.0,1970.0,1.0,10.0,10.0
25%,6762815404.75,1970-01-01 00:00:00.000042546,3.0,1.75,1440.0,5010.75,1.0,0.0,0.0,3.0,7.0,1200.0,0.0,1951.0,0.0,,52.7076,-114.519,1490.0,5097.75,1.0,57.0,320000.0,1970.0,1.0,28.0,26.0
50%,6762820822.5,1970-01-01 00:00:00.000042600,3.0,2.25,1930.0,7620.0,1.5,0.0,0.0,3.0,7.0,1580.0,0.0,1975.0,0.0,,52.8064,-114.421,1850.0,7620.0,2.0,65.0,450000.0,1970.0,1.0,50.0,47.0
75%,6762826251.25,1970-01-01 00:00:00.000042662,4.0,2.5,2570.0,10800.0,2.0,0.0,0.0,4.0,8.0,2240.0,580.0,1997.0,0.0,,52.9089,-114.315,2380.0,10125.0,3.0,73.0,645000.0,1970.0,1.0,74.0,71.0
max,6762831616.0,1970-01-01 00:00:00.000042734,33.0,8.0,13540.0,1074218.0,3.5,1.0,4.0,5.0,13.0,9410.0,4820.0,2015.0,2015.0,,53.0076,-113.505,6110.0,560617.0,3.0,80.0,7700000.0,1970.0,1.0,125.0,125.0
std,6237.574799250812,,0.9387188525270168,0.769934496031654,928.2757212217757,37919.62130357933,0.540238613574769,0.08719272795478021,0.7662585281777873,0.6641511945719759,1.1750327581231115,833.8099630893141,448.5514090380962,29.49362504175274,416.2166613986982,,0.13752203224394974,0.14132590314165383,691.0933663181695,26058.414467484465,0.8172840631224632,8.936007827775098,367532.38080396695,0.0,0.0,29.49362504175274,28.892002875165964
